he4_theta,p_theta
14.4161,29.5067
14.4124,29.4642
14.4088,29.4218
14.405,29.3794
14.4012,29.3369
14.3974,29.2945
14.3935,29.2521
14.3896,29.2097
14.3856,29.1673
14.3816,29.1249
14.3776,29.0825
14.3735,29.0402
14.3694,28.9978
14.3652,28.9555
14.361,28.9131
14.3567,28.8708
14.3524,28.8284
14.3481,28.7861
14.3437,28.7438
14.3393,28.7014
14.3348,28.6591
14.3303,28.6168
14.3257,28.5745
14.3211,28.5322
14.3165,28.4899
14.3118,28.4477
14.3071,28.4054
14.3023,28.3631
14.2975,28.3209
14.2926,28.2786
14.2877,28.2364
14.2827,28.1942
14.2778,28.1519
14.2727,28.1097
14.2676,28.0675
14.2625,28.0253
14.2574,27.9831
14.2521,27.9409
14.2469,27.8987
14.2416,27.8565
14.2362,27.8144
14.2308,27.7722
14.2254,27.73
14.2199,27.6879
14.2144,27.6457
14.2089,27.6036
14.2033,27.5615
14.1976,27.5193
14.1919,27.4772
14.1862,27.4351
14.1804,27.393
14.1745,27.3509
14.1687,27.3088
14.1628,27.2667
14.1568,27.2247
14.1508,27.1826
14.1447,27.1405
14.1386,27.0985
14.1325,27.0564
14.1263,27.0144
14.1201,26.9723
14.1138,26.9303
14.1075,26.8883
14.1011,26.8463
14.0947,26.8043
14.0882,26.7623
14.0818,26.7203
14.0752,26.6783
14.0686,26.6363
14.062,26.5943
14.0553,26.5523
14.0486,26.5104
14.0418,26.4684
14.035,26.4265
14.0281,26.3845
14.0212,26.3426
14.0143,26.3006
14.0072,26.2587
14.0002,26.2168
13.9931,26.1749
13.986,26.133
13.9788,26.0911
13.9716,26.0492
13.9643,26.0073
13.957,25.9654
13.9496,25.9236
13.9422,25.8817
13.9347,25.8398
13.9272,25.798
13.9196,25.7561
13.9121,25.7143
13.9044,25.6725
13.8967,25.6306
13.889,25.5888
13.8812,25.547
13.8734,25.5052
13.8655,25.4634
13.8576,25.4216
13.8496,25.3798
13.8416,25.338
13.8336,25.2963
13.8254,25.2545
13.8173,25.2127
13.8091,25.171
13.8008,25.1292
13.7925,25.0875
13.7842,25.0457
13.7758,25.004
13.7674,24.9623
13.7589,24.9206
13.7504,24.8788
13.7418,24.8371
13.7332,24.7954
13.7245,24.7537
13.7158,24.7121
13.707,24.6704
13.6982,24.6287
13.6893,24.587
13.6805,24.5454
13.6715,24.5037
13.6625,24.4621
13.6534,24.4204
13.6444,24.3788
13.6352,24.3371
13.626,24.2955
13.6168,24.2539
13.6075,24.2123
13.5982,24.1707
13.5888,24.1291
13.5794,24.0875
13.5699,24.0459
13.5604,24.0043
13.5508,23.9627
13.5412,23.9212
13.5315,23.8796
13.5218,23.838
13.5121,23.7965
13.5022,23.7549
13.4924,23.7134
13.4825,23.6719
13.4725,23.6303
