A_p,CM angle
61.0152,52.11
61.0635,52.02
61.1119,51.93
61.1602,51.84
61.2086,51.75
61.257,51.66
61.3053,51.57
61.3537,51.48
61.4021,51.39
61.4505,51.3
61.499,51.21
61.5474,51.12
61.5958,51.03
61.6443,50.94
61.6927,50.85
61.7412,50.76
61.7896,50.67
61.8381,50.58
61.8866,50.49
61.9351,50.4
61.9836,50.31
62.0321,50.22
62.0806,50.13
62.1291,50.04
62.1776,49.95
62.2262,49.86
62.2747,49.77
62.3232,49.68
62.3718,49.59
62.4204,49.5
62.469,49.41
62.5175,49.32
62.5661,49.23
62.6147,49.14
62.6633,49.05
62.7119,48.96
62.7606,48.87
62.8092,48.78
62.8578,48.69
62.9065,48.6
62.9551,48.51
63.0038,48.42
63.0525,48.33
63.1011,48.24
63.1498,48.15
63.1985,48.06
63.2472,47.97
63.2959,47.88
63.3446,47.79
63.3933,47.7
63.4421,47.61
63.4908,47.52
63.5396,47.43
63.5883,47.34
63.6371,47.25
63.6858,47.16
63.7346,47.07
63.7834,46.98
63.8322,46.89
63.881,46.8
63.9298,46.71
63.9786,46.62
64.0274,46.53
64.0763,46.44
64.1251,46.35
64.1739,46.26
64.2228,46.17
64.2716,46.08
64.3205,45.99
64.3694,45.9
64.4183,45.81
64.4672,45.72
64.5161,45.63
64.565,45.54
64.6139,45.45
64.6628,45.36
64.7117,45.27
64.7606,45.18
64.8096,45.09
64.8585,45
64.9075,44.91
64.9565,44.82
65.0054,44.73
65.0544,44.64
65.1034,44.55
65.1524,44.46
65.2014,44.37
65.2504,44.28
65.2994,44.19
65.3484,44.1
65.3975,44.01
65.4465,43.92
65.4955,43.83
65.5446,43.74
65.5936,43.65
65.6427,43.56
65.6918,43.47
65.7409,43.38
65.79,43.29
65.839,43.2
65.8882,43.11
65.9373,43.02
65.9864,42.93
66.0355,42.84
66.0846,42.75
66.1338,42.66
66.1829,42.57
66.2321,42.48
66.2812,42.39
66.3304,42.3
66.3796,42.21
66.4287,42.12
66.4779,42.03
66.5271,41.94
66.5763,41.85
66.6255,41.76
66.6748,41.67
66.724,41.58
66.7732,41.49
66.8224,41.4
66.8717,41.31
66.9209,41.22
66.9702,41.13
67.0195,41.04
67.0687,40.95
67.118,40.86
67.1673,40.77
